,0,1,2,3,4,5
0,Kultur & Kongresshaus Aarau Aarau,Do 27.03.2014 17:30 - 19:30,"""Demokratie in der Gemeinde""",Adrian Ritter / Öffentlichkeitsbeauftragter ZDA; Villa Blumenhalde; Küttigerstrasse 21; 5000 Aarau; +41 (0)62 836 94 44,Zentrum für Demokratie Aarau (ZDA),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5000.html
1,Kultur & Kongresshaus Aarau Aarau,Fr 28.03.2014 09:00 - 16:45,"""Demokratie in der Gemeinde""",Adrian Ritter / Öffentlichkeitsbeauftragter ZDA; Villa Blumenhalde; Küttigerstrasse 21; 5000 Aarau; +41 (0)62 836 94 44,Zentrum für Demokratie Aarau (ZDA),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5001.html
2,"Medienzentrum Bundeshaus, KonferenzsaalCentre de presse du Palais fédéral, salle de conférences Bern",Mo 16.06.2014 09:30,"Medienkonferenz; Teilnehmende: Dr. Hans Hollenstein, Präsident PostCom; Georges Champoud, Vizepräsident PostCom; Dr. Michel Noguet, Leiter Fachsekretariat PostCom",Andreas Herren; Kommunikationsbeauftragter PostCom; Tel. +41 31 325 79 80,Eidgenössische Postkommission PostCom,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5002.html
3,"Medienzentrum Bundeshaus, KonferenzsaalCentre de presse du Palais fédéral, salle de conférencesCentro media di Palazzo federale, sala delle conferenze Bern",Mi 02.07.2014 14:30,Point de presse mit Bundesratssprecher André Simonazzi; Die Medienkonferenz wird live übertragen. Nähere Angaben zu Themen und Teilnehmerinnen und Teilnehmern werden kurz vor Beginn auf www.tv.admin.ch aufgeschaltet.,Der Bundesrat,Links   www.tv.admin.ch,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5003.html
4,"Medienzentrum Bundeshaus, KonferenzsaalCentre de presse du Palais fédéral, salle de conférences Bern",Di 11.02.2014 10:45,Medienorientierung / Medienkonferenz,Information EDA / DFAE ; +41 31 322 31 53,Eidgenössisches Departement für auswärtige Angelegenheiten,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5004.html
5,ZHAW School of Management and LawGertrudstrasse 15 8401 Winterthur,Mo 31.03.2014 09:15 - 16:30,Tagung,Nadine Bircher; Telefon +41 58 934 76 63,"ZHAW School of Management and Law, Zentrum für Sozialrecht",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5005.html
6,Bern,Fr 14.02.2014,-,Der Bundesrat,Links   Medienmitteilung vom 4. Februar 2014   Medienmitteilung vom 12. Februar 2014,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5006.html
7,GKB AUDITORIUMEngadinstrasse 25 7000 Chur,Fr 11.04.2014 09:30 - 17:15,Tagung,Corsin Bisaz; Telefon: 062 836 94 31 ; corsin.bisaz@zda.uzh.ch,Zentrum für Demokratie Aarau (ZDA),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5007.html
8,"Medienzentrum Bundeshaus, BernCentre de presse Palais fédéral, BerneCentro media di Palazzo dederale, Berna Bern",Di 25.02.2014 10:30 - 12:00,"Medienkonferenz mit: Walter Steinlin, Präsident KTI; Thomas von Stokar, Geschäftsleiter Infras; Dr. Spyros Arvanitis, KOF Konjunkturforschungsstelle; Hanspeter Romer, Head of Basic Research Robotics, Hamilton Bonaduz AG; Florent Meynet, Composites Busch SA","Tanja Vogel; Effingerstrasse 27, CH-3003 Bern; Tel:  +41 31 322 83 63; tanja.vogel@kti.admin.ch",Kommission für Technologie und Innovation KTI – ab 1.1.2018 Innosuisse - Schweizerische Agentur für Innovationsförderung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5008.html
9,"Medienzentrum Bundeshaus, KonferenzsaalCentre de presse du Palais fédéral, salle de conférencesCentro media di Palazzo federale, sala delle conferenze 3003 Bern",Di 11.02.2014 13:30 - 15:30,Pressekonferenz mit Bundesrat Ueli Maurer,"Renato Kalbermatten, ; Tel. 031 324 88 75",Der Bundesrat,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5009.html
