,0,1,2,3,4,5
0,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 03.04.2008 14:15,Medienkonferenz mit Bundesrätin Doris Leuthard,Kommunikation EVD / Communication DFE; 031 322 20 07,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1168.html
1,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Fr 04.04.2008 09:00,Medienkonferenz,"Christian Weber, Pressechef FDP, 031 320 35 35; Stefan Brupbacher, Generalsekretär FDP, 031 320 35 35","Überparteiliches Komitee ""Für mehr Qualität in der Gesundheitsversorgung - Gesundheitsartikel JA am 1. Juni""",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1169.html
2,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze Bern",Sa 05.04.2008 16:30,Medienkonferenz,"Presse- und Informationsdienst UVEK, Tel. 031 322 55 11","Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1173.html
3,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 29.04.2008 11:00 - 12:00,Medienkonferenz,"Mirjam Matti, Präsenz Schweiz; 031 325 07 46",Präsenz Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1175.html
4,"Kursaal, Kornhausstr. 3 3000 Bern",Do 26.06.2008 09:00 - 16:30,"Nationale Tagung der Eidg. Koordinationskommission für Familienfragen EKFF; Welchen Einfluss haben Familien in Bezug auf Bildungschancen? Welche Bedeutung kommt dabei der frühen Kindheit zu? Welche Erziehungsfragen stellen sich bei Jugendlichen? Inwiefern unterscheiden sich die Erziehungsstile von Familien mit und ohne Migrationshintergrund? Welche Aufgaben kommen Schule und Familien zu und wie könnte die Zusammenarbeit zwischen Eltern und Lehrpersonen verbessert werden? - Das sind einige der gesellschaftspolitischen Fragen, die in letzter Zeit immer wieder öffentlich diskutiert werden und welche die Eidg. Koordinationskommission für Familienfragen (EKFF) ins Zentrum des Forums Familienfragen 2008 stellt. Ausgewiesene Fachleute werden die Zusammenhänge zwischen Familien, Erziehung und Bildung beleuchten und die EKFF wird ihre Schlussfolgerungen und Empfehlungen präsentieren.","Eidg. Koordinationskommission für Familienfragen EKFF - Commission fédérale de coordination pour les questions familiales COFF; BSV; Effingerstr. 20; 3003 Bern; Tel. 031 324 06 56, Fax 031 324 06 75; Sekretariat.EKFF@bsv.admin.ch, www.ekff.admin.ch",Kommissionen des EDI,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1176.html
5,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 10.04.2008 11:15,Medienkonferenz,Peter Lauener; SP Schweiz / PS Suisse; Leiter Kampagnen&Kommunikation / Chef campagne&communication; Tel direkt: 031 329 69 92; Tel Zentrale: 031 329 69 69; Mobil: 079 650 12 34,SP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1177.html
6,Waffenplatz Thun; Place d'armes de Thoune; Piazza d'armi di Thun Thun,Fr 18.04.2008 08:15 Abgesagt,Sebastian Hueber; Sprecher VBS / Porte-parole DDPS / Portavoce del DDPS; 031 324 88 75,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport","Attachments   Einladung an die Medien (PDF, 71 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1180.html
7,Ferme du Manoir Nyon,Fr 18.04.2008 12:00,Medienkonferenz,"Christian Ströhle; Verantwortlicher Filmkultur, Ausbildung und Kommunikation; Responsable de la culture cinématographique, de la formation et de la communication; Responsabile cultura cinematografica, formazione e comuncazione; Tel. 031 324 70 24 oder 079 390 47 69",Bundesamt für Kultur,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1184.html
8,Hotel Bern; Zeughausgasse 9 3011 Bern,Mo 05.05.2008 10:00 - 11:00,Medienkonferenz,"Pietro Cavadini, SGB-Information; 031 377 01 07, pietro.cavadini@sgb.ch",Komitee gegen eine Zweiklassenmedizin,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1188.html
9,"Centre de presse du Palais fédéral, salle de conférences; Medienzentrum Bundeshaus, Konferenzsaal Bern",Fr 18.04.2008 14:00 - 15:00,"Medienkonferenz mit: Bundespräsident Pascal Couchepin, Vorsteher des Eidgenössischen Departementes des Innern (EDI); Peter Indra, Vizedirektor BAG, Leiter Direktionsbereich Kranken- und Unfallversicherung",Jean-Marc Crevoisier; Responsable de la communication DFI / Kommunikationschef EDI; tél. 031 322 80 16,Eidgenössisches Departement des Innern,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1191.html
