,0,1,2,3,4,5
0,Restaurant Höllgrotten 6340 Baar ZG,Mi 18.03.2009 14:00,Medienkonferenz mit Bundesrat Moritz Leuenberger,"Elisabeth Maret, Chargée de l'information; Office fédéral de l'environnement OFEV; Tél. +41 (0)31 323 28 69",Bundesamt für Umwelt BAFU,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1907.html
1,Bern,Di 17.03.2009 13:30 - 14:00,Point de presse (13.30 - 14.00 Uhr) im Von Wattenwyl-Haus,info@eda.admin.ch; 031 322 31 53,Eidgenössisches Departement für auswärtige Angelegenheiten,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1908.html
2,Medienzentrum Bundeshaus 3003 Bern,Di 17.03.2009,Der Konferenzsaal im 2. UG des Medienzentrums steht nicht zur Verfügung. Der kleine Konferenzraum kann bis und mit 17. März benutzt werden.,BK; Information; 031 322 37 91,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1909.html
3,Medienzentrum Bundeshaus 3003 Bern,Mo 16.03.2009,Der Konferenzsaal im 2. UG des Medienzentrums steht nicht zur Verfügung. Der kleine Konferenzraum kann bis und mit 17. März benutzt werden.,BK; Information; 031 322 37 91,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1910.html
4,"Kursaal, Kornhausstr. 3 3000 Bern",Di 23.06.2009 09:00 - 16:30,"Nationale Tagung der Eidg. Koordinationskommission für Familienfragen EKFF; Wie lassen sich Familienleben, Erziehungsaufgaben und Berufstätigkeit unter einen Hut bringen? Diese Frage stellt sich den meisten Müttern von Kindern. Sie betrifft aber nicht nur die Frauen. Was ist mit den Vätern? Das Forum widmet sich der Rolle der Väter in Familie und Erziehung. Es beleuchtet die Erfahrungen, die andere Länder mit dem Elternurlaub machen, und geht der Frage nach, wie ein Elternurlaub in der Schweiz aussehen und verwirklicht werden könnte. Im Anschluss an die Referate von Fachleuten diskutieren die Teilnehmenden in Workshops über die Erfahrungen in anderen Ländern, die gegenwärtige Situation in der Schweiz und Massnahmen, die es den Eltern (Vätern und Müttern) ermöglichen würden, Familie und Beruf besser miteinander zu vereinbaren.","Eidg. Koordinationskommission für Familienfragen EKFF - Commission fédérale de coordination pour les questions familiales COFF; BSV - OFAS; Effingerstr. 20; 3003 Bern; Tel. 031 324 06 56, Fax 031 324 06 75; Sekretariat.EKFF@bsv.admin.ch, www.ekff.admin.ch",Kommissionen des EDI,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1911.html
5,"Waffenplatz Thun, Ausbildungsanlage Polygon; Place d'armes de Thoune, installation d’instruction ""Polygon"" 3600 Thun",Mo 30.03.2009 14:30 - 16:00,"Sebastian Hueber, Stv C Komm VBS / rempl. chef comm DDPS; 031 324 88 75","Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport","Attachments   Einladung an die Medien (PDF, 214 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1913.html
6,"Rathaus, Landratssaal (2. Stock) 6460 Altdorf UR",Mi 18.03.2009 10:30,Medienkonferenz und Buchvernissage,"Eduard Müller, kantonaler Denkmalpfleger, edi.mueller@ur.ch, Tel 041 875 28 82",Justizdirektion des Kantons Uri / Bundesamt für Kultur BAK / Inventar der schützenswerten Ortsbilder der Schweiz (ISOS),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1915.html
7,Hotel Allegro; Kornhausstrasse 3 3013 Bern,Do 02.04.2009 10:00,"Medienkonferenz zum Geschäftsabschluss 2008 und die Aussichten für die Zukunft mit dem Präsidenten des Verwaltungsrates, Konrad Peter, und dem CEO Toni J. Wicki",Monique Henzi; Kommunikation; RUAG Holding AG; Stauffacherstrasse 65; CH-3000 Bern 22; Tel +41 313 766 456; Fax +41 313 766 481; Mobile +41 798 152 604; E-Mail: monique.henzi@ruag.com; Web: www.ruag.com,RUAG Holding,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1918.html
8,"Flughafen Zürich-Kloten, Bus-Gate; Nouveau satellite de l'aéroport de Zurich-Kloten; Aeroporto di Zurigo-Kloten, bus gate Zürich-Kloten",Fr 27.03.2009 10:30 - 12:30,Philippe Piatti; Informationsdienst EJPD / Service d'information DFJP / Servizio d'informazione DFGP; +41 31 322 40 29,Eidgenössisches Justiz- und Polizeidepartement,"Attachments   Einladung an die Medien (PDF, 23 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1919.html
9,"Schauspielhaus Zürich-Schiffbau, Halle 1; Schiffbaustrasse 4 8005 Zürich",Do 02.04.2009 11:00,10:45 Fototermin; 11:00 Medienkonferenz,Anna Imfeld; Stv. Leiterin Kommunikation; Bundesamt für Kultur BAK; +41 31 322 92 34,Bundesamt für Kultur,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1921.html
