,0,1,2,3,4,5,6,7
0,5303,Bundesratssitzung,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze Bern",Fr 19.09.2014 14:30,Medienkonferenz des Bundesrates; Die Medienkonferenz wird live übertragen. Nähere Angaben zu Themen und Teilnehmerinnen und Teilnehmern werden kurz vor Beginn auf www.tv.admin.ch aufgeschaltet.,Der Bundesrat,Links   www.tv.admin.ch,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5303.html
1,5305,Bundesgesetz über steuerliche Massnahmen zur Stärkung der Wettbewerbsfähigkeit des Unternehmensstandortes Schweiz (Unternehmenssteuerreformgesetz III),"Bernerhof, Leuchtersaal; Salle des lustres du Bernerhof; Bundesgasse 3 Bern",Mo 22.09.2014 10:00,Medienseminar,"Nadia Batzig, Stv. Leiterin Kommunikation EFD; Responsable suppléante de la communication du DFF; +41 58 462 60 33",Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5305.html
2,5306,Bundesratssitzung vom 19. September 2014,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze Bern",Mo 22.09.2014 13:00,Medienkonferenz mit Bundesrätin Eveline Widmer-Schlumpf;; Die Medienkonferenz wird live übertragen. Nähere Angaben zu Themen und Teilnehmerinnen und Teilnehmern werden kurz vor Beginn auf www.tv.admin.ch aufgeschaltet.,Der Bundesrat,Links   www.tv.admin.ch,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5306.html
3,5307,„Schutz für Vertriebene“,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences 3003 Bern",Do 18.12.2014 14:00 - 15:00,"An der Medienkonferenz werden die Empfehlungen der Eidg. Kommission für Migrationsfragen zum Schutz von Vertriebenen vorgestellt. Dazu gehört auch ein neuer Schutzstatus, welcher die vorläufige Aufnahme ablösen soll. Die Empfehlungen basieren auf einer ausführlichen Studie des Migrationsexperten Roger Zetter (Oxford) über die aktuellen Schutzbedürfnisse verschiedener Gruppen von Vertriebenen weltweit. An der Medienkonferenz werden reden: - EKM-Präsident Walter Leimgruber; - EKM-Vizepräsident Etienne Piguet: Vorstellung der Studie; - Martina Caroni, Präsidentin der EKM-Arbeitsgruppe, welche die Empfehlungen ausgearbeitet hat; Wer die Studie „Schutz für Vertriebene“ vor der Medienkonferenz zum Studium erhalten möchte, melde sich bitte bei Elsbeth Steiner (siehe Kontakt).",Elsbeth Steiner; Stv. Geschäftsführerin / Cheffe-suppléante; Eidg. Kommission für Migrationsfragen EKM / Commission féd. pour les questions de migration CFM; Tel 058 464 52 61 / 079 292 34 79; elsbeth.steiner@ekm.admin.ch,Eidgenössische Migrationskommission,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5307.html
4,5308,Abgabe der Unterschriften zur Volksinitiative «Ja zum Schutz der Privatsphäre»,"Bundesterrasse & Medienzentrum Bundeshaus, Konferenzsaal; Terrasse du Palais fédéral et Centre de presse du Palais fédéral, salle de conférences Bern",Do 25.09.2014 13:45 - 15:00,"13.45 Uhr: Übergabe der Unterschriften, Bundesterrasse unterhalb der Bundeskanzlei; 14.30 Uhr: Medienkonferenz; Referentinnen und Referenten: • Nationalrat Alfred Heer, SVP/ZH; • Nationalrat Thomas Matter, SVP/ZH; • Nationalrätin Gabi Huber, FDP/UR; • Nationalrat Gerhard Pfister, CVP/ZG; • Nationalrat Christian Lüscher, FDP/GE;;","Matthias Leitner, Kampagnenleiter FDP.Die Liberalen, 031 320 35 33, 079 794 32 39; Arnaud Bonvin, secrétaire romand PLR.Les Libéraux Radicaux, 031 320 35 35, 079 277 71 23",Überparteiliches Komitee «Ja zum Schutz der Privatsphäre»,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5308.html
5,5309,Revision der Volkswirtschaftlichen Gesamtrechnung VGR,SECO-Gebäude / bâtiment du SECO; Holzikofenweg 36 3007 Bern,Di 30.09.2014 09:30,"Medienkonferenz; Die Referenten: • Prof. Dr. Georges-Simon Ulrich, Direktor des Bundesamts für Statistik, BFS; • Philippe Küttel, Leiter der Sektion Volkswirtschaftliche Gesamtrechnung, BFS; • Botschafter Dr. Eric Scheidegger, Leiter der Direktion für Wirtschaftspolitik, SECO; • Dr. Bruno Parnisari, Leiter des Ressorts Konjunktur, SECO",Marie Avet; stv. Leiterin Kommunikation SECO / suppléante de la cheffe de la Communication du SECO; Tel. 058 462 40 20; marie.avet@seco.admin.ch,Staatssekretariat für Wirtschaft,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5309.html
6,5310,Kasernengespräch mit Bundesrat Ueli Maurer,"Übungsdorf ASA, Aarematte; Village d’exercice ASA, Aarematte; Villaggio d’esercitazione IPR, Aarematte 3380 Wangen a/A",Di 30.09.2014 12:00 - 16:00,"Kasernengespräch mit dem Chef VBS; Referent: Bundesrat Ueli Maurer, Chef VBS; Detail: Im Rahmen dieses Treffens sind kurze Einzelinterviews möglich; Treffpunkt: Übungsdorf ASA, Aarematte, Wangen a/A (siehe Lageplan), (Jalonierung „VBS“ ab Autobahnausfahrt „Wangen a/A“); Organisatorisches: Den Teilnehmenden wird eine Transportmöglichkeit nach Wangen a/A und zurück nach Bern angeboten. Abfahrt 11.15 Uhr vor der Nationalbank, Bern. Rückkehr gegen 17.00 Uhr. Für die Übermittlung steht Ihnen W-LAN zur Verfügung",Renato Kalbermatten; Sprecher VBS / porte-parole DDPS / portavoce del DDPS; 058 464 88 75,Generalsekretariat VBS,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5310.html
7,5311,SGB-Analyse zur Effizienz von privatem und umlagefinanziertem Alterssparen,Hotel Kreuz; Zeughausgasse 41 3011 Bern,Mi 01.10.2014 10:00,"Medienkonferenz; Teilnehmende: - Paul Rechsteiner, SGB-Präsident; - Doris Bianchi, geschäftsführende Sekretärin, Spezialistin für Sozialversicherungen; - Giorgio Tuti, Präsident SEV; - Aldo Ferrari, Geschäftsleitungsmitglied Unia",Thomas Zimmermann; Leiter Kommunikation / Responsable de la communication; 031 377 01 06; 079 249 59 74,Schweizerischer Gewerkschaftsbund (SGB),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5311.html
8,5312,"«Lohndruck, Prämienlast, Stress und unsichere Arbeitsplätze – Die Lage der Berufstätigen in der reichen Schweiz»",Hotel Bern; Zeughausgasse 9 3011 Bern,Di 21.10.2014 10:00,Medienkonferenz,Thomas Zimmermann; Leiter Kommunikation / Responsable de la communication; 031 377 01 06; 079 249 59 74,Schweizerischer Gewerkschaftsbund SGB,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5312.html
9,5313,Medienkonferenz «Nein zu Ecopop»,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze Bern",Mo 06.10.2014 10:45,"Medienkonferenz; Teilnehmende: - Regula Rytz, Nationalrätin und Co-Präsidentin der Grünen Schweiz. - Rita Schiavi, Mitglied der Geschäftsleitung Unia und des Vorstandes SGB; - Emine Sariaslan, Präsidentin des Forums für die Integration der Migrantinnen und Migranten FIMM; - Ada Marra, Nationalrätin der Sozialdemokratischen Partei der Schweiz; - Guy Krneta, Autor, Mitglied der Spoken-Word-Formation «Bern ist überall» und Mitbegründer des Netzwerks «Kunst+Politik». - Iván Ordás Criado, Mitglied der Geschäftsleitung des Verband der Schweizer Studierendenschaften (VSS)",Sarah Meyer: 079 561 18 54; Amanda Ioset: 079 258 60 49,Komitee solidarische Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5313.html
10,5314,Volksabstimmung vom 30. November 2014: Volksinitiative «Stopp der Überbevölkerung – zur Sicherung der natürlichen Lebensgrundlagen» (Ecopop),"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze 3003 Bern",Di 14.10.2014 09:30,"Medienkonferenz im Hinblick auf die Volksabstimmung vom 30. November 2014; Teilnehmende: - Bundesrätin Simonetta Sommaruga, Vorsteherin des Eidgenössischen Justiz- und Polizeidepartements (EJPD); - Mario Gattiker, Direktor des Bundesamts für Migration (BFM)",Informationsdienst EJPD / Service d’information DFJP / Servizio informazioni DFGP; + 41 58 462 18 18,Der Bundesrat,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5314.html
11,5315,Das Historische Lexikon der Schweiz am Ziel!,Polit-Forum Käfigturm; Marktgasse 67 3011 Bern,Do 23.10.2014 10:30,"Medienkonferenz mit anschl. Apéro; Teilnehmende: - Martine Brunschwig Graf (Genf), alt Nationalrätin, Präsidentin des Stiftungsrates des Historischen Lexikons der Schweiz; - Dr. Marco Jorio (Bern), Chefredaktor Historisches Lexikon der Schweiz; - Ruedi Bienz (Basel), Verleger der deutschen Ausgabe; - Gilles Attinger (Hauterive), Verleger der französischen Ausgabe; Anmeldung: HLS, info@dhs.ch",Regula Moosbrugger; 031 313 13 30; info@dhs.ch,Historisches Lexikon der Schweiz (HLS),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5315.html
12,5316,"«ECOPOP: 9 statt 12 Millionen Menschen bis 2060, für eine lebenswerte Schweiz»","Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze 3003 Bern",Di 07.10.2014 11:00 - 12:00,"Medienkonferenz; Teilnehmende: - Thomas Minder, Ständerat",Benno Büeler; 079 605 02 95; benno.bueeler@gmail.com,Überparteiliches Komitee «JA zu Ecopop»,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5316.html
13,5317,SGB fordert runden Tisch zur Bewältigung der Asbestkatastrophe,Hotel Bern; Zeughausgasse 9 3011 Bern,Di 07.10.2014 10:00,"Medienkonferenz; Es nehmen teil: - Paul Rechsteiner, Präsident SGB; - Vania Alleva, Vize-Präsidentin SGB, Co-Präsidentin Unia; - Luca Cirigliano, Zentralsekretär SGB",Ewald Ackermann; Kommunikation SGB / service de la communication de l’USS; 031 377 01 09; 079 660 36 14,Schweizerischer Gewerkschaftsbund (SGB),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5317.html
14,5318,Delegiertenversammlung BDP Schweiz,Weiermatthalle; Egertenstrasse 20 4153 Reinach BL,Sa 18.10.2014 10:00,Delegiertenversammlung,Nina Zosso; Generalsekretärin BDP Schweiz / Secrétaire générale PBD Suisse; 079 218 86 28,BDP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5318.html
15,5319,Delegiertenversammlung der Grünen Partei Schweiz,Accademia di architettura; Palazzo Canavée; viale Canavée 6850 Mendrisio TI,Sa 18.10.2014 11:00,Delegiertenversammlung,Riccardo Turla; Redaktion / Rédaction; Waisenhausplatz 21; 3011 Bern; 031 326 66 02,Grüne Partei Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-5319.html
