,0,1,2,3,4,5
0,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze Bern",Do 28.06.2012 09:15,Medienkonferenz des Bundesrates; Die Medienkonferenz wird live übertragen. Nähere Angaben zu Themen und Teilnehmerinnen und Teilnehmern werden kurz vor Beginn auf www.tv.admin.ch aufgeschaltet.,Der Bundesrat,Links   www.tv.admin.ch,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4201.html
1,economiesuisse; Hegibachstrasse 47 8032 Zürich,Mo 02.07.2012 10:00,Pressekonferenz,economiesuisse; Hegibachstrasse 47; CH-8032 Zürich; Telefon +41 44 421 35 53,economiesuisse,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4202.html
2,Flugplatz Meiringen (Hangar I); Base aérienne de Meiringen (Hangar 1); Aerodromo di Meiringen (hangar I) Meiringen (BE),Fr 29.06.2012 10:15 - 11:00,Treffen zwischen Bundesrat Ueli Maurer und der schwedischen Verteidigungsministerin Karin Enström; Im Anschluss des Treffens kurze Demo eines FA 18 – Starts (Verhältnisse im Gebirge),Sonja Margelist; Sprecherin VBS/Porte-parole du DDPS/Portavoce del DDPS; 031 324 88 75,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4203.html
3,Vatter Business Center; Bärenplatz 2 3011 Bern,Do 02.08.2012 09:30,Medienkonferenz,Therese Schmid; Travail.Suisse; 031 370 21 11. schmid@travailsuisse.ch,Travail.Suisse,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4204.html
4,"UVEK-Campus, Mühlestrasse 2; Sitzungszimmer 084 (Parterre) 3063 Ittigen (BE)",Mo 02.07.2012 10:00 - 11:00,Mediengespräch,"Marianne Zünd, Leiterin Kommunikation BFE; Tel. 031 322 56 75 / 079 763 86 11 marianne.zuend@bfe.admin.ch",Bundesamt für Energie,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4205.html
5,Sitz des ENSI in Brugg (Industriestrasse 19); Au siège de l‘IFSN à Brugg AG (Industriestrasse 19) Brugg,Mo 09.07.2012 10:00 - 11:00,"Referenten: Dr. Hans Wanner, Direktor des Eidgenössischen Nuklearsicherheitsinspektorats; Dr. Georg Schwarz, Leiter des Aufsichtsbereichs Kernkraftwerke; Die Stellungnahmen werden während der Medienkonferenz auf der Website des ENSI (http://www.ensi.ch) publiziert.",Sebastian Hueber; Leiter Kommunikation ENSI; Tel. 056 460 86 00; sebastian.hueber (at) ensi.ch,Eidgenössisches Nuklearsicherheitsinspektorat,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4206.html
6,Dählhölzli und Orangerie Elfenau (Stadtgärtnerei); Dählhölzli et Orangerie Elfenau (Stadtgärtnerei); Dählhölzli e Orangerie Elfenau (vivaio municipale) Bern,Do 09.08.2012 10:15 - 13:30,"Spaziergang der Aare entlang, anschliessend Medienkonferenz. Anmeldung bitte bis Montag, 6. August 2012, an info@gs-ejpd.admin.ch;","Infodienst EJPD; info@gs-ejpd.admin.ch; +41 31 322 18 18; Service d’information DFJP; info@gs-ejpd.admin.ch; +41 31 322 18 18; Servizio d’informazione DFGP, info@gs-ejpd.admin.ch, +41 31 322 18 18",Eidgenössisches Justiz- und Polizeidepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4207.html
7,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences$; Centro media di Palazzo federale, centro congressi Bern",Mo 02.07.2012 12:30,Point de Presse,"Angela Zumbrunn, Bundesamt für Migration / Office fédéral des migrations / Ufficio federale della migrazione; Tel. +41 31 325 98 80, angela.zumbrunn@bfm.admin.ch",Eidgenössisches Justiz- und Polizeidepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4208.html
8,Bundeshaus West Bern,Di 03.07.2012 14:00,Fototermin,"Information EDA / Information DFAE; Tel. +41 31 322 31 53, Fax +41 31 324 90 47; info@eda.admin.ch",Eidgenössisches Departement für auswärtige Angelegenheiten,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4209.html
9,"Medienzemtrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mo 02.07.2012 16:45,Die von der Schweiz und Deutschland eingesetzte Delegation zur Ausarbeitung eines Staatsvertrags zu den An- und Abflügen auf den Flughafen Zürich hat sich heute zur fünften Verhandlungsrunde getroffen.,"Annetta Bundi, Presse- und Informationsdienst UVEK / Service de presse et d'information DETEC / Servizio stampa DATEC; Tel. 031 322 55 11","Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-4210.html
