,0,1,2,3,4,5,6,7
0,7000,Einladung «Drone Innovators Network»,Campus ETH Zürich; Hönggerberg 8000 Zürich,Di 26.06.2018 09:30 - 12:30,"Die Schweiz gilt als Pionierland für Drohnen: Eine innovative Industrie, Spitzenuniversitäten und eine flexible, unbürokratische Regulierung haben der Schweiz bei der Entwicklung professioneller Drohnen zu einem Spitzenplatz verholfen. Um die Rollen und Aufgaben der verschiedenen Akteure zu erörtern und neue Trends zu beleuchten, organisiert das UVEK zusammen mit dem World Economic Forum (WEF) und Präsenz Schweiz Ende Juni in Zürich eine zweitägige Veranstaltung. Am «Drone Innovators Network»-Anlass nehmen Persönlichkeiten aus Politik, Forschung und Industrie teil.",Annetta Bundi; Presse- und Informationsdienst UVEK; 078 646 38 80; Kommunikation BAZL 058 464 23 35,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7000.html
1,7001,Bundesrat und Ratspräsidenten empfangen die Eishockey Nationalmannschaft im Bundeshaus,Parlamentsgebäude Bern 3003 Bern,Mo 11.06.2018 13:00 - 13:30,Nationalratspräsident Dominique de Buman und Bundespräsident Alain Berset empfangen am 11. Juni 2018 zusammen mit Ständeratspräsidentin Karin Keller-Sutter und Bundesrat Guy Parmelin die Eishockey Nationalmannschaft. Zum Empfang der Silbermedaillengewinner der WM 2018 im Bundeshaus sind die Medien eingeladen.,Renato Kalbermatten; Informationschef VBS; +41 58 464 88 75,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7001.html
2,7002,Managerlöhne,Vatter Business Center 3000 Bern,Fr 22.06.2018 09:30,-,Linda Rosenkranz; Leiterin Kommunikation Travail.Suisse; Postfach; 3001 Bern; T: 031 370 21 11; www.travailsuisse.ch,Travail.Suisse,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7002.html
3,7003,"Ja zu e-Voting, aber Sicherheit kommt vor Tempo",Bundeshaus; Konferenzzimmer Nr. 301 3003 Bern,Mo 11.06.2018 10:00,"Zwei Parlamentarier und ein Sicherheitsexperte fordern ein bedachtes Vorgehen bei der breiten Einführung von e-Voting; Zurzeit laufen diverse Testbetriebe für ein e-Voting in verschiedenen Kantonen. Dabei mehren sich die; Sicherheitsbedenken. Wir sind gegen ein generelles Technologieverbot. Gleichzeitig sind wir gegen die; schleichende Überführung des Testbetriebes in den ordentlichen Betrieb, wie es die Verordnungen und; die Bundeskanzlei heute vorsehen. Denn für den Testbetrieb braucht es klare Grenzen und die alleinige; Kompetenz darf nicht beim Bundesrat liegen. Ständerat Damian Müller und Nationalrat Marcel Dobler stellen ihren Vorstoss für die Begrenzung von e-; Voting im Testbetrieb vor. Dr. Stefan Frei, Cyber Security Experte und Dozent an der ETH beschreibt mögliche Angriffsszenarien auf das e-Voting und stellt den selbst entwickelten e-Voting-Angriffssimulator vor. Der Simulator dient als Grundlage für die Zahlen und Bedingungen des Vorstosses. Er wird den Anwesenden anschliessend zur Verfügung gestellt.","Marcel Dobler, Nationalrat SG und Unternehmer, marcel.dobler@parl.ch, 078 648 48 26; Dr. Stefan Frei, Cyber Security Experte und Dozent ETH, frei@techzoom.net, 079 222 99 22; Damian Müller, Ständerat LU, damian.mueller@parl.ch, 079 569 09 39","NR Marcel Dobler, Dr. Stefan Frei, SR Damian Müller",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7003.html
4,7004,Auslegeordnung zur Lohngleichheit in der Schweiz – Start Kampagne «Lohngleichheit ist auch Dein Bier»,Hotel Bern; Zeughausgasse 9 3000 Bern,Mi 13.06.2018 10:00,"Seit 37 Jahren ist das Prinzip der Lohngleichheit zwischen Männern und Frauen in der Verfassung; verankert. Trotz Gleichstellungsgesetz ist die Lohngleichheit aber immer noch nicht realisiert. Der Widerstand im Parlament ist gross, hier Schritte nach vorn zu machen. Die Arbeitgeber stellen das Problem seit ein paar Jahren gar wieder in Abrede. Die SGB-Frauenkommission hat vor dem Hintergrund der laufenden Debatte den Stand der Forschung unter die Lupe genommen. An einer Medienkonferenz nimmt die Kommission eine Auslegeordnung vor zur Lage in Sachen Lohngleichheit in der Schweiz und nimmt Stellung zur laufenden Debatte. Gleichzeitig präsentiert sie unter dem Slogan «Die Lohngleichheit ist auch dein Bier» eine neue Kampagne des SGB.",Thomas Zimmermann; Leiter Kommunikation SGB; 079 249 59 74,Schweizerischer Gewerkschaftsbund,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7004.html
5,7005,Schulreise Bundeshausjournalisten in den Kanton Thurgau,8500 Thurgau,Do 05.07.2018 08:00,-,Nicolas Hehl; 031 309 31 10,Verband Bundeshaus Journalisten,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7005.html
6,7006,Point de Presse mit Bundesrätin Leuthard,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze 3003 Bern MZ",Mo 11.06.2018 14:00,-,Presse- und Informationsdienst UVEK; 058 462 55 11,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7006.html
7,7007,Einladung zur Delegiertenversammlung der FDP.Die Liberalen,Waffenplatz Airolo; Caserma Bedrina; Palestra Bedrina 6780 Airolo,Sa 23.06.2018 11:15,-,Martin Stucki; Kommunikationschef; 078 788 82 22; Karine Barras; Mediensprecherin; 078 795 29 85,FDP.Die Liberalen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7007.html
8,7008,25. Tätigkeitsbericht 2017/2018,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze 3003 Bern MZ",Mo 25.06.2018 10:00 - 11:00,-,Medienstelle EDÖB; Tel. +41 58 464 94 10; info@edoeb.admin.ch,Eidgenössischer Datenschutz- und Öffentlichkeitsbeauftragter,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7008.html
9,7011,Point de presse zu den Flankierenden Massnahmen,Hotel Bern 3003 Bern,Fr 15.06.2018 10:00,-,Thomas Zimmermann; Leiter Kommunikation SGB; 079 249 59 74; Linda Rosenkranz; Leiterin Kommunikation Travail.Suisse; 079 743 50 47,"SGB, Travail.Suisse, Unia, Syna",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7011.html
10,7012,Psychosoziale Risiken am Arbeitsplatz: Bericht zum Vollzugsschwerpunkt,SECO-Gebäude am Holzikofenweg 36 3000 Bern,Do 21.06.2018 14:00,-,Antje Baertschi; Leiterin Kommunikation SECO; Tel. +41 58 463 52 75,Staatssekretariat für Wirtschaft,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7012.html
11,7013,Delegiertenversammlung der SP Schweiz,Fondation de Beaulieu; Avenue des Bergières 10 1004 Lausanne,Sa 23.06.2018 10:30 - 15:00,-,Delia Berner; Stellvertretende Mediensprecherin; 031 329 69 82; Gaël Bourgeois; Stellvertretender Mediensprecher; 031 329 69 85,SP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7013.html
12,7014,Medieneinladung zur Präsentation der neuen HIV-Präventionskampagne LOVE LIFE,Plaza Klub; Badenerstrasse 109 8004 Zürich,Mo 25.06.2018 09:00,"Der wirksamste Schutz gegen eine HIV-Infektion ist immer noch das Kondom. Damit dieses Wissen der in der Schweiz lebenden Bevölkerung nicht verloren geht, informiert der Bund zusammen mit der Aids-Hilfe Schweiz und SEXUELLE GESUNDHEIT Schweiz regelmässig über die Risiken und die Schutzmöglichkeiten gegenüber HIV und anderen sexuell übertragbaren Krankheiten. Die Teilnehmenden sind Simone Eigenmann, Leiterin Sektion Prävention und Promotion, Adrian Kammer, Sektion Gesundheitsinformation und Kampagnen und Marco Fritsche, Moderator. Für Interviewanfragen anwesend sind auch eine Vertreterin und ein Vertreter unserer Partner: Barbara Berger, SEXUELLE GESUNDHEIT Schweiz und Andreas Lehner, Aids-Hilfe Schweiz.","Rod Kommunikation, Stefan Erdin, stefan@rod.ag, 079 780 67 72",Bundesamt für Gesundheit,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7014.html
13,7015,Delegiertenversammlung SVP,Cantine de fête des Bugnenets 2058 Le Pâquier,Sa 23.06.2018 10:00 - 14:00,-,Schweizerische Volkspartei SVP; Generalsekretariat; Postfach; 3001 Bern; Tel.: 031 300 58 58; E-Mail: gs@svp.ch,SVP,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7015.html
14,7016,Umsetzung der Stellenmeldepflicht,SECO-Gebäude; Holzikofenweg 36 Bern,Di 26.06.2018 13:30,Ab dem 1. Juli 2018 müssen alle Stellen in Berufsarten mit einer Arbeitslosenquote von 8 Prozent oder mehr (Schwellenwert) der öffentlichen Arbeitsvermittlung gemeldet werden. Das Staatssekretariat für Wirtschaft SECO und der Verband Schweizerischer Arbeitsmarktbehörden VSAA informieren an einem Point de Presse über die Umsetzung.,"Fabian Maienfisch, Stv. Leiter Kommunikation SECO; Tel. +41 58 462 40 20",Staatssekretariat für Wirtschaft,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7016.html
15,7017,Medienkonferenz «Wie nachhaltig ist die Schweiz? Die Umsetzung der Agenda 2030»,"Politforum Käfigturm, Bern 3000 Bern",Di 03.07.2018 10:30,Vorstellung des Berichts der Schweizer Zivilgesellschaft,"Daniel Hitzig, E-mail: daniel.hitzig@alliancesud.ch",Plattform Agenda 2030 c/o Alliance Sud,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7017.html
16,7018,Jahreskonferenz der Schweizer Entwicklungszusammenarbeit DEZA/SECO,"BERNEXPO Bern, Festhalle 3000 Bern",Fr 29.06.2018 13:00 - 17:00,"«Stadt und Land nachhaltig entwickeln. Zwei Schweizer Schwerpunkte in Afrika»; Eröffnungsrede von Bundesrat Ignazio Cassis, EDA-Vorsteher","Information EDA / DFAE / DFAE, Tel. +41 58 462 31 53, Fax +41 58 464 90 47, info@eda.admin.ch, www.eda.admin.ch, www.dfae.admin.ch",Eidgenössisches Departement für auswärtige Angelegenheiten,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-7018.html
