,0,1,2,3,4,5
0,Grenzübergang Thayngen 8240 Thayngen SH,Do 05.02.2009 10:30,"Themen:; Herausforderungen im Bereich des grenzüberschreitenden Waren- und Personenverkehrs, Schmuggelbilanz 2008 (Betäubungsmittel etc.); Zollgrenze als Herausforderung für Zoll und Wirtschaft; Sicherheitskontrollen im Schwerverkehr.",Stefanie Widmer; Eidgenössische Zollverwaltung EZV; Tel. +41 31 322 50 56; stefanie.widmer@ezv.admin.ch,Eidgenössische Zollverwaltung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1737.html
1,Hotel Kreuz 3011 Bern,Do 22.01.2009 10:45,Medienkonferenz,"Peter Moor, 031 357 57 50",SEV,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1738.html
2,Medienzentrum Bundeshaus 3003 Bern,Do 15.01.2009 10:00,Pressekonferenz der CVP Schweiz,Marianne Binder; 031 357 33 33 079 686 01 31; binder@cvp.ch,CVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1739.html
3,Hotel Kreuz; Zeughausgasse 41; 3000 Bern 7 3011 Bern,Do 22.01.2009 10:15,Eine Sonderbriefmarke als Geburtstagsgeschenk,"Roland Schuler; Tel. 061 317 92 24, Mobile 079 826 69 47; roland.schuler@pronatura.ch",Pro Natura,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1740.html
4,Hotel Bellevue 3011 Bern,Fr 23.01.2009 10:30,Martin Rubeli; Tel. 041 727 67 80; Mobile 079 330 45 16; Mail: martin_rubeli@rubeli.ch,vips Vereinigung Pharmafirmen in der Schweiz; Interpharma; SGCI Chemie Pharma Schweiz,"Attachments   Einladung (PDF, 70 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1741.html
5,Parlamentsgebäude 3003 Bern,Mi 14.01.2009 14:50,Linda Shepard; 079 544 48 16,Eidgenössisches Departement für auswärtige Angelegenheiten,"Attachments   Programm (PDF, 17 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1742.html
6,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 20.01.2009 10:00,"Medienkonferenz; Referenten: Eveline Widmer-Schlumpf, Bundesrätin; Jean-Claude Mermoud, Staatsrat VD und Präsident der TAK; Philippe Perrenoud, Regierungsrat BE; Ruedi Meier, Präsident Städteinitiative Sozialpolitik/Stadtrat Luzern","Bundesamt für Migration, Information & Kommunikation; Office fédéral des migrations, information et communication; 031 325 78 44",Eidgenössisches Justiz- und Polizeidepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1744.html
7,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mo 11.05.2009 10:00 - 11:00,Medienkonferenz,"Anton Treier, Leiter Information; Eidgenössisches Nuklearsicherheitsinspektorat ENSI; Tel. +4156 310 38 70; anton.treier@ensi.ch; www.ensi.ch",Eidgenössisches Nuklearsicherheitsinspektorat,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1749.html
8,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mi 06.05.2009 13:00,Medienkonferenz des Bundesrates,Bundeskanzlei,Links   www.tv.admin.ch,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1750.html
9,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mi 13.05.2009 11:45,Medienkonferenz des Bundesrates,Bundeskanzlei,Links   www.tv.admin.ch,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1751.html
